Model,Keyword,Config,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BLEU,BERTScore-F1
facebook/bart-large-cnn,no_query,cfg1,38.9195,20.9332,29.707,28.8675,16.5664,86.0734
facebook/bart-large-cnn,no_query,cfg2,39.0395,21.0579,29.8864,28.644,15.6248,86.1682
facebook/bart-large-cnn,baseline,cfg1,44.3142,24.8049,33.7639,32.6316,18.5363,87.4488
facebook/bart-large-cnn,baseline,cfg2,44.5015,25.2573,34.0909,32.7267,18.1614,87.516
facebook/bart-large-cnn,RAKE,cfg1,44.7364,25.1313,33.9425,33.3729,19.1301,87.4531
facebook/bart-large-cnn,RAKE,cfg2,43.7851,24.7348,33.605,31.8877,17.7197,87.3928
facebook/bart-large-cnn,KBmini,cfg1,44.1496,24.6016,33.4772,32.3352,18.2424,87.4089
facebook/bart-large-cnn,KBmini,cfg2,43.9274,24.7056,33.7486,31.956,18.0247,87.4184
